# position global 1dels 2dels 3dels 4dels 5dels 10dels 15dels 20dels 25dels 30dels 35dels 40dels 45dels 50dels
101 0.09714485088449495 0.0731126784456074 0.06550408937005053 0.07429910923104273 0.05678569086860161 0.06404962805600761 0.09584950773021274 0.08166603622012023 0.09675713535579827 0.09534765815362001 0.09768649860742522 0.11045480400475607 0.12836078481962346 0.14775459700443347 0.17239969451563 
102 0.07558305485873527 0.04618420929621817 0.045077334398575794 0.05440780154768418 0.03904023693108544 0.05215575625771927 0.07192060352882579 0.0600753554802586 0.0692285188133 0.07981837399174739 0.07618659838569175 0.08308336302523418 0.10516897395757607 0.12744791749051476 0.1483677249178626 
103 0.055125982984109555 0.019299003543107644 0.021197898363670774 0.031391992153147634 0.02274755334540039 0.026975342574494986 0.049245200364225736 0.0504293010769313 0.04400700061550587 0.06314897054186731 0.06540406575285586 0.06389053107144478 0.08344380775940607 0.10712098441941478 0.12346211019606042 
104 0.05207058059995277 0.0138580798951193 0.014616116491058859 0.017125068704760854 0.014547285483092122 0.02962927603988933 0.04599436741911861 0.049215444412498005 0.0488802597061737 0.06258710434758426 0.062303152081935875 0.06648357198867523 0.07722239248283044 0.1053866346948513 0.12113937465175087 
105 0.04952510014633714 0.013101307302891583 0.01199486037836051 0.01174288691431459 0.013655346009416907 0.031218580760955853 0.04803306920469252 0.04715880504587664 0.04798804405069674 0.06032996434518514 0.05891532394225413 0.06728178472405218 0.07054666860853348 0.10225096791838345 0.10913379284310608 
106 0.045757694050105116 0.00784287807655621 0.009780622100261382 0.01194066239482933 0.013758904363460382 0.02830573774904542 0.04443905761350053 0.04212453542258648 0.047894421299900646 0.06169713291241513 0.05124380168003239 0.056640293804458695 0.0629757774503787 0.09830103387732043 0.10366285795672608 
107 0.04398397147036052 0.006841209952464608 0.015218250640476522 0.015373550984185039 0.017212787798674044 0.027537002833635655 0.03455814369315474 0.03548506127898391 0.05018969480583087 0.05755428699003348 0.04965134512344956 0.05427991447989478 0.06372448978954695 0.09155539219592174 0.09659447001879522 
108 0.04419655168179791 0.009953760934900416 0.017605482430515837 0.02178164015127387 0.025358399070624895 0.028503073484090157 0.03234431637489133 0.03176835220122691 0.048971458641404356 0.05178725922470698 0.04958974007870613 0.0516784725061507 0.06519706667671181 0.08726565703906325 0.09694704473090406 
109 0.04620003402525477 0.011536580449354723 0.014915701506270269 0.02504940266140813 0.027990967487303463 0.028382016291558024 0.03311252193477129 0.036696231423910174 0.048917036902627664 0.05431815696086233 0.0519703719156644 0.05358235175917288 0.06739715577131226 0.09204852702142197 0.10088345426792927 
110 0.044146455490892744 0.011423702534207443 0.017692047682825177 0.02335366367014527 0.02840456246298069 0.029818554135667575 0.030979107285818288 0.04216318462203806 0.04664142849652531 0.05135842445132796 0.04320819080955944 0.04942562098272906 0.06062412056622626 0.08566749715371527 0.09729027201873247 
111 0.04030675976196394 0.01059962335033748 0.014786656282211978 0.019003470551705075 0.02550802350685702 0.027136269395656814 0.019862818079802825 0.03920088475312762 0.04015944424805101 0.046867049565955866 0.04312899375340775 0.04815973333066346 0.05691728366931352 0.07724320522255194 0.09572118095785273 
112 0.03628655319101429 0.013496477727798979 0.009962635775955315 0.016889248068546837 0.02342805685044124 0.022822320134463652 0.01709852410101544 0.03592193261217427 0.03774329118158332 0.039262615968293176 0.04239104310453165 0.04086275660080155 0.04908059528635004 0.07233291907496979 0.0867193281872749 
113 0.03719196912935229 0.010209424883378978 0.009703401829872444 0.017716428707720486 0.017929654962388023 0.02016092516831948 0.01969508342639222 0.03961325027329758 0.03605333272863637 0.03995256193843187 0.0407957004485873 0.045926945701120284 0.052926980621114394 0.0797933643808702 0.0902105127408023 
