# position global 1dels 2dels 3dels 4dels 5dels 10dels 15dels 20dels 25dels 30dels 35dels 40dels 45dels 50dels
101 4.309506074265398 1.8853356911301389 2.4978794205923314 2.9311839605291548 3.2990168073421064 3.6982236970391935 4.508517340251468 4.868525785795151 4.886945925128418 5.133058810315904 5.1580408500308526 5.436180541144004 5.219725329272112 5.283679482178147 5.522536900210711 
102 3.9064206937956882 1.6276381087473073 2.1197923846783797 2.615364359243462 2.8615990241588927 3.254466545973279 4.037656256530451 4.415265880929733 4.512830910189977 4.6372434787652415 4.689354504360975 5.001755675244475 4.807981560183072 4.934310568484824 5.167166618676982 
103 3.6300137522947447 1.5274751456827533 1.9638975812777515 2.4144799662616308 2.6969060814281236 3.0570273609299075 3.720307170838191 4.085723531832663 4.118091859309427 4.2493308627223145 4.411049920823569 4.641733948178023 4.5472228755654704 4.5780723518127155 4.803704871263088 
104 3.4658686491171737 1.3646102565528553 1.857645069113317 2.25315396802793 2.544897286444522 2.8593893725933963 3.564855010136965 3.8079420816344727 4.011151001128991 4.162355239113024 4.261288061219511 4.379144387391389 4.411763340342162 4.412244342873573 4.627091190522465 
105 3.2443411942498614 1.2650578222090663 1.6698187426130275 2.0732823816173913 2.372785229601848 2.6403359572713674 3.395756795654307 3.4770313756092293 3.7695145404380836 3.854042652002696 4.0068079150224705 4.109120473671421 4.116115892080499 4.232067894236983 4.435065836438558 
106 3.1038732915573415 1.1545478567541108 1.5803072592640905 1.920711525858375 2.226780270865769 2.454997712205647 3.2824810600014347 3.393853203034155 3.641524673681279 3.691638013367178 3.9004111189929946 3.9167014483190705 4.014960288564284 4.0992153373510085 4.17240708175563 
107 2.9545445767024576 1.1075073274067486 1.5051385919386948 1.8010245489139403 2.0810727514889735 2.328986268758183 3.0376229630025975 3.240924458788255 3.4509155054871496 3.4969627683327125 3.7489635016216516 3.7081404279415957 3.837458327579119 3.9791811390188006 4.03426106360042 
108 2.827251065959286 1.0596412170081295 1.415240742650992 1.7258289025469566 1.9851604307273978 2.2527693335760643 2.900536182202238 3.095331896561857 3.25101166607477 3.3743905672052232 3.5869297440499377 3.537348723973779 3.7255949040741028 3.8010424362885527 3.8656866963678196 
109 2.7132146493423512 1.0093931697082266 1.351341631542981 1.6431443910311674 1.9333778864049527 2.1573966807724543 2.700839380171488 2.9793657054638225 3.0098770396286096 3.1933651411851987 3.4048048448272037 3.486005172022318 3.5939653958837745 3.709610725127575 3.8075933186906976 
110 2.542813233713622 0.974129491053847 1.2713788043598833 1.5279383621216764 1.8262221766454658 2.03747093041427 2.5362433543122678 2.820350600671508 2.807883210964106 2.975937649272927 3.214798758136808 3.2356564331589817 3.320063519876995 3.4396036165114814 3.6066330712032486 
